Order_ID,TAKEAWAY/SEATING/PICKUP,DATE,DAY,TIME,SERVER,ITEM,QUANTITY,PRICE,TOTAL,ALLERGIES,FOOD TYPE,WEEK NUMBER
139017,SEAT,19-06-2020,FRIDAY,4:02 PM,JILLIAN N.,FISH & CHIPS,1,#N/A,#N/A,NO,#N/A,WEEK 1
138938,SEAT,19-06-2020,FRIDAY,11:29 AM,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
138938,SEAT,19-06-2020,FRIDAY,11:29 AM,ASHLEY C.,CHIC COBB SALAD,1,#N/A,#N/A,NO,#N/A,WEEK 1
138938,SEAT,19-06-2020,FRIDAY,11:29 AM,ASHLEY C.,THAI PRAWN SALAD,1,#N/A,#N/A,NO,#N/A,WEEK 1
138908,TAKEAWAY,19-06-2020,FRIDAY,9:46 AM,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
138908,TAKEAWAY,19-06-2020,FRIDAY,9:46 AM,ASHLEY C.,EGGS BENEDICT,1,12,12,NO,BREAKFAST,WEEK 1
138948,SEAT,19-06-2020,FRIDAY,11:58 AM,ASHLEY C.,SALT & PEPPER PORK RIBS,1,14,14,NO,STARTERS,WEEK 1
138945,TAKEAWAY,19-06-2020,FRIDAY,11:39 AM,ASHLEY C.,CHICKEN CAESAR FLATBRD,1,15,15,NO,PIZZA,WEEK 1
138945,TAKEAWAY,19-06-2020,FRIDAY,11:39 AM,ASHLEY C.,CHICKEN WINGS,1,14,14,NO,STARTERS,WEEK 1
138986,TAKEAWAY,19-06-2020,FRIDAY,1:55 PM,ASHLEY C.,AHI TUNA POKE BOWL,1,21,21,NO,RICE BOWLS AND PASTA,WEEK 1
138986,TAKEAWAY,19-06-2020,FRIDAY,1:55 PM,ASHLEY C.,SPICY ITALIAN FLATBRD,1,15,15,NO,PIZZA,WEEK 1
138986,TAKEAWAY,19-06-2020,FRIDAY,1:55 PM,ASHLEY C.,PRIME RIB BURGER,1,17,17,NO,SANDWHICHES,WEEK 1
139006,TAKEAWAY,19-06-2020,FRIDAY,3:13 PM,JILLIAN N.,CHIC COBB SALAD,2,#N/A,#N/A,YES,#N/A,WEEK 1
138953,TAKEAWAY,19-06-2020,FRIDAY,12:10 PM,JILLIAN N.,CHIC COBB SALAD,1,#N/A,#N/A,NO,#N/A,WEEK 1
138953,TAKEAWAY,19-06-2020,FRIDAY,12:10 PM,JILLIAN N.,SALT & PEPPER PORK RIBS,1,14,14,NO,STARTERS,WEEK 1
138943,TAKEAWAY,19-06-2020,FRIDAY,11:33 AM,ASHLEY C.,CINNAMON FRENCH TOAST,3,12,36,NO,BREAKFAST,WEEK 1
138943,TAKEAWAY,19-06-2020,FRIDAY,11:33 AM,ASHLEY C.,CINNAMON FRENCH TOAST,1,12,12,NO,BREAKFAST,WEEK 1
138943,TAKEAWAY,19-06-2020,FRIDAY,11:33 AM,ASHLEY C.,TERIYAKI SALMON SALAD,1,20,20,NO,SALAD,WEEK 1
138923,TAKEAWAY,19-06-2020,FRIDAY,10:24 AM,ASHLEY C.,BREAKFAST TACOS,1,12,12,NO,BREAKFAST,WEEK 1
138939,TAKEAWAY,19-06-2020,FRIDAY,11:29 AM,ASHLEY C.,CHIC COBB SALAD,3,#N/A,#N/A,NO,#N/A,WEEK 1
138935,TAKEAWAY,19-06-2020,FRIDAY,11:23 AM,ASHLEY C.,SOUP OF THE DAY,2,#N/A,#N/A,NO,#N/A,WEEK 1
138933,PICKUP,19-06-2020,FRIDAY,11:12 AM,ASHLEY C.,PORK TENDERLOIN,2,22,44,YES,ENTRÉE,WEEK 1
138933,PICKUP,19-06-2020,FRIDAY,11:12 AM,ASHLEY C.,SEAFOOD PENNE,1,23,23,YES,RICE BOWLS AND PASTA,WEEK 1
138933,PICKUP,19-06-2020,FRIDAY,11:12 AM,ASHLEY C.,THAI PRAWN SALAD,1,#N/A,#N/A,YES,#N/A,WEEK 1
139018,TAKEAWAY,19-06-2020,FRIDAY,4:02 PM,JILLIAN N.,SALT & PEPPER PORK RIBS,1,14,14,NO,STARTERS,WEEK 1
138918,TAKEAWAY,19-06-2020,FRIDAY,10:03 AM,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
139204,TAKEAWAY,20-06-2020,SATURDAY,12:20 PM,JILLIAN N.,PRIME RIB BURGER,1,17,17,NO,SANDWHICHES,WEEK 1
139193,SEAT,20-06-2020,SATURDAY,11:56 AM,ASHLEY C.,PRIME RIB SLIDER,2,6,12,NO,STARTERS,WEEK 1
139176,SEAT,20-06-2020,SATURDAY,11:14 AM,JILLIAN N.,EGGS BENEDICT,2,12,24,NO,BREAKFAST,WEEK 1
139176,SEAT,20-06-2020,SATURDAY,11:14 AM,JILLIAN N.,SIDE OF SAUSAGE,2,3,6,NO,SIDE / ADD ON,WEEK 1
139176,SEAT,20-06-2020,SATURDAY,11:14 AM,JILLIAN N.,JR. MAC AND CHEESE,1,10,10,NO,JUNIOR MENU,WEEK 1
139176,SEAT,20-06-2020,SATURDAY,11:14 AM,JILLIAN N.,PANCAKES & EGGS,2,12,24,NO,BREAKFAST,WEEK 1
139176,SEAT,20-06-2020,SATURDAY,11:14 AM,JILLIAN N.,SIDE OF BACON,1,3,3,NO,SIDE / ADD ON,WEEK 1
139200,SEAT,20-06-2020,SATURDAY,12:15 PM,ASHLEY C.,FAST FARE BREAKFAST,2,10,20,NO,BREAKFAST,WEEK 1
139184,SEAT,20-06-2020,SATURDAY,12:46 PM,JILLIAN N.,FISH & CHIPS,1,#N/A,#N/A,NO,#N/A,WEEK 1
139184,SEAT,20-06-2020,SATURDAY,12:46 PM,JILLIAN N.,FISH & CHIPS,1,#N/A,#N/A,NO,#N/A,WEEK 1
139184,SEAT,20-06-2020,SATURDAY,12:46 PM,JILLIAN N.,WILLOW CLUB HOUSE SANDWHICH,1,15,15,NO,SANDWHICHES,WEEK 1
139184,SEAT,20-06-2020,SATURDAY,12:46 PM,JILLIAN N.,BEEF DIP SANDWHICH,2,15,30,NO,SANDWHICHES,WEEK 1
139184,SEAT,20-06-2020,SATURDAY,12:46 PM,JILLIAN N.,PRIME RIB BURGER ,1,17,17,NO,#N/A,WEEK 1
139126,SEAT,20-06-2020,SATURDAY,7:21 AM,JILLIAN N.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
139205,SEAT,20-06-2020,SATURDAY,12:40 PM,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
139125,TAKEAWAY,20-06-2020,SATURDAY,7:28 AM,JILLIAN N.,BREAKFAST ON THE RUN,2,6,12,NO,BREAKFAST,WEEK 1
139127,SEAT,20-06-2020,SATURDAY,7:48 AM,JILLIAN N.,FAST FARE BREAKFAST,2,10,20,NO,BREAKFAST,WEEK 1
139127,SEAT,20-06-2020,SATURDAY,7:48 AM,JILLIAN N.,TWO EGGS ANY STYLE,1,12,12,NO,BREAKFAST,WEEK 1
139148,SEAT,20-06-2020,SATURDAY,9:48 AM,JILLIAN N.,TWO EGGS ANY STYLE,3,12,36,NO,BREAKFAST,WEEK 1
139148,SEAT,20-06-2020,SATURDAY,9:48 AM,JILLIAN N.,CINNAMON FRENCH TOAST,1,12,12,NO,BREAKFAST,WEEK 1
139208,SEAT,20-06-2020,SATURDAY,12:51 PM,KAITLIN E.,CHICKEN TACOS,1,14,14,NO,STARTERS,WEEK 1
139208,SEAT,20-06-2020,SATURDAY,12:51 PM,KAITLIN E.,GINGER BEEF,1,18,18,NO,RICE BOWLS AND PASTA,WEEK 1
139208,SEAT,20-06-2020,SATURDAY,12:51 PM,JILLIAN N.,PRIME RIB BURGER,1,17,17,NO,SANDWHICHES,WEEK 1
139158,SEAT,20-06-2020,SATURDAY,10:32 AM,JILLIAN N.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
139127,SEAT,20-06-2020,SATURDAY,7:32 AM,JILLIAN N.,EGGS BENEDICT,1,12,12,NO,BREAKFAST,WEEK 1
139127,SEAT,20-06-2020,SATURDAY,7:32 AM,JILLIAN N.,ADD AN EGG,3,4,12,NO,SIDE / ADD ON,WEEK 1
139127,SEAT,20-06-2020,SATURDAY,7:32 AM,JILLIAN N.,SIDE OF TOAST ,1,1,1,NO,SIDE / ADD ON,WEEK 1
139178,SEAT,20-06-2020,SATURDAY,11:51 AM,JILLIAN N.,ASIAN CHIC LETTUCE WRAPS,1,14,14,NO,STARTERS,WEEK 1
139178,SEAT,20-06-2020,SATURDAY,11:51 AM,JILLIAN N.,BUFFALO CHIC WRAPS,1,15,15,YES,SANDWHICHES,WEEK 1
